n_trials,crossing_rate,fallback_rate,p_choice_0,p_choice_1,p_choice_2,p_choice_3,target_accuracy,flanker_response_proportion,other_response_proportion,hard_first_crossing_time_mean,final_rt_mean,final_rt_sd,final_rt_median,q10,q25,q50,q75,q90,q95,skewness,kurtosis,min,max,correct_mean_decision_time,error_mean_decision_time,error_minus_correct_decision_time,fast_error_proportion,no_crossing_proportion,analysis_group,age_group,condition,seed,evidence_scale,evidence_gap,target_channel
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,equal_deterministic,20260801,0.8357658386230469,,
1000,0.004,0.996,0.268,0.241,0.246,0.245,0.268,0.241,0.491,0.7881399999999998,1.5381399999999994,0.0340396694916255,1.54,1.54,1.54,1.54,1.54,1.54,1.54,-19.746506198261933,403.76000981972226,0.76,1.54,0.7885447761194029,0.7879918032786886,-0.0005529728407143164,0.732,0.996,older_80_89,Older,noise_only,20260801,0.8357658386230469,,
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,weak_target_advantage,20260801,0.8357658386230469,,
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,moderate_target_advantage,20260801,0.8357658386230469,,
1000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2599999999999999,1.01,0.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,,,1.01,1.01,0.2599999999999999,,,0.0,0.0,older_80_89,Older,strong_target_advantage,20260801,0.8357658386230469,,
1000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7100000000000002,1.4600000000000004,4.443114211273408e-16,1.46,1.46,1.46,1.46,1.46,1.46,1.46,,,1.46,1.46,0.7100000000000002,,,0.0,0.0,older_80_89,Older,early_flanker_capture_target_recovery,20260801,0.8357658386230469,,
1000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,,0.7899999999999998,,1.0,1.0,older_80_89,Older,target_first_late_flanker,20260801,0.8357658386230469,,
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,evidence_strength_sweep,20260801,0.8357658386230469,0.0,
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,evidence_strength_sweep,20260801,0.8357658386230469,0.1671531677246094,
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,evidence_strength_sweep,20260801,0.8357658386230469,0.3343063354492188,
1000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7899999999999998,1.5399999999999996,4.443114211273408e-16,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,1.54,0.7899999999999998,,,0.0,1.0,older_80_89,Older,evidence_strength_sweep,20260801,0.8357658386230469,0.5014595031738281,
1000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4400000000000001,1.19,0.0,1.19,1.19,1.19,1.19,1.19,1.19,1.19,,,1.19,1.19,0.4400000000000001,,,0.0,0.0,older_80_89,Older,evidence_strength_sweep,20260801,0.8357658386230469,0.6686126708984376,
1000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2599999999999999,1.01,0.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,,,1.01,1.01,0.2599999999999999,,,0.0,0.0,older_80_89,Older,evidence_strength_sweep,20260801,0.8357658386230469,0.835765838623047,
