term,log_odds_coefficient,standard_error,ci_low,ci_high,z_value,p_value,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
Intercept,-3.820331768239462,0.02053661745170013,-3.8605827988090713,-3.780080737669853,-186.02536553180988,0.0,0.02192052715302853,0.021055724695234833,0.022820848848551206
C(user_id)[T.166],-0.6002705131843343,0.02704335862946512,-0.6532745221190864,-0.5472665042495822,-22.196596266349438,3.704626489701935e-109,0.548663195389236,0.5203391220820505,0.5785290576849195
C(user_id)[T.182],-0.8659405003227104,0.03686839730430676,-0.9382012312068653,-0.7936797694385556,-23.487337764518344,5.494822681760297e-122,0.42065573966648223,0.39133111684926664,0.4521778199981821
C(user_id)[T.221],-0.783757952265958,0.02906923902714873,-0.8407326138171557,-0.7267832907147603,-26.96176365449334,4.152386412842498e-160,0.4566865761973577,0.43139436216080174,0.48346164709756567
C(user_id)[T.335],-0.928491521695449,0.029290375896271384,-0.985899603545781,-0.871083439845117,-31.699542709304882,1.5763785552315139e-220,0.3951493352143075,0.3731034307483421,0.4184978862486726
C(user_id)[T.522],-1.9625999160527667,0.059390744380099794,-2.079003636052787,-1.8461961960527464,-33.04555173601057,1.8021861977422251e-239,0.14049267650973077,0.1250547501902144,0.1578364046375296
C(user_id)[T.569],0.49713421429629695,0.027646894880894612,0.44294729604537875,0.5513211325472152,17.981556932089383,2.717533522588113e-72,1.6440031526398584,1.5572902568238658,1.7355443881104835
C(user_id)[T.677],-0.23295190295591,0.03223091614242387,-0.29612333778379146,-0.16978046812802855,-7.227591729832575,4.916340654570735e-13,0.7921916746859351,0.7436956965842879,0.8438500482442688
C(user_id)[T.878],0.1853912574677495,0.031294714785423554,0.12405474358186622,0.2467277713536328,5.924043684018524,3.1411995392400244e-09,1.2036893004355285,1.1320778432989604,1.2798306587830224
C(user_id)[T.899],-1.4536611972276092,0.05222654596573251,-1.5560233463573705,-1.351299048097848,-27.833760980123067,1.6938650789634445e-170,0.23371305022137068,0.21097337330056712,0.25890371372106274
C(user_id)[T.984],-0.7777450186334353,0.03812645501507446,-0.8524714973211678,-0.7030185399457027,-20.399090823574603,1.703533782957196e-92,0.45944087467933264,0.42635988140373304,0.4950886012800689
C(user_id)[T.1018],0.47995971076529387,0.026413491728512713,0.4281902182714623,0.5317292032591254,18.17100577608182,8.75781839095599e-74,1.6160092931036074,1.5344779389494831,1.7018726493944034
C(user_id)[T.1054],-0.7194469587800081,0.039302599317271834,-0.7964786379406694,-0.6424152796193467,-18.30532766986334,7.503920006673603e-75,0.48702152447287195,0.4509140031939839,0.5260204021604552
C(user_id)[T.1127],-0.26070776437559895,0.03361947145658185,-0.3266007176097717,-0.19481481114142618,-7.754665766006828,8.857645359946996e-15,0.770506056035426,0.7213717165546308,0.8229870519775314
C(user_id)[T.1182],-1.1798967048621478,0.04312368174638818,-1.264417567965836,-1.0953758417584596,-27.36075996018058,8.042298683893894e-165,0.30731048064016503,0.28240372922879614,0.334413896619533
C(user_id)[T.1354],0.1317846050741333,0.028758780903226224,0.07541843026453163,0.188150779883735,4.582412777425813,4.596414494276019e-06,1.1408625567943456,1.078335264608256,1.2070154952858492
C(user_id)[T.1369],-0.6278080955262556,0.0371297046433462,-0.7005809793838238,-0.5550352116686874,-16.908513050581494,3.8941012171620694e-64,0.5337604716975602,0.49629688175933684,0.574052047510053
C(user_id)[T.1478],0.12734324339160455,0.03154166827455233,0.06552270956117236,0.18916377722203676,4.037302094586559,5.406942392782146e-05,1.135806809062369,1.0677169844223489,1.2082388182767188
C(user_id)[T.1488],-0.5536631160225312,0.03816852358844383,-0.6284720475989486,-0.4788541844461137,-14.505751440439841,1.1141068838407065e-47,0.5748402424408674,0.5334061979494643,0.6194928097944256
C(user_id)[T.1744],-0.4657703355974558,0.036137004763316646,-0.5365975634427088,-0.39494310775220276,-12.88901331607505,5.190361173998852e-38,0.627651416683258,0.5847343932747101,0.6737183675108768
C(user_id)[T.1941],-0.28465091161209755,0.02585943034850158,-0.3353344637558827,-0.23396735946831237,-11.007624985389192,3.5113825188262634e-28,0.7522768195896797,0.7150988716960187,0.7913876467875767
C(user_id)[T.2046],-0.9033967984929833,0.03881986796195171,-0.979482341583009,-0.8273112554029576,-23.271506213736338,8.617985148051339e-120,0.4051909674287231,0.37550543209549025,0.43722328907368246
C(user_id)[T.2090],-0.08704490215745933,0.03258291005906842,-0.15090623238474127,-0.02318357193017738,-2.671489501694559,0.007551543462613912,0.9166359357779549,0.8599283283075603,0.9770831022780483
C(user_id)[T.2143],-0.8075839214413573,0.041961369337913924,-0.8898266940856518,-0.7253411487970627,-19.245890546085445,1.5281463852009436e-82,0.44593417771986127,0.41072692799042526,0.4841593703915233
C(user_id)[T.2317],-0.2452130399746222,0.031621396892700805,-0.30718983902516256,-0.18323624092408186,-7.754655520332973,8.858360486662028e-15,0.7825378086475693,0.7355109589694809,0.8325714450549052
C(user_id)[T.2410],-0.48740832134067175,0.035512043610337066,-0.5570106478343482,-0.4178059948469953,-13.725155518754597,7.177495950705545e-43,0.6142161841588818,0.5729191636726909,0.6584899664802051
C(user_id)[T.2553],-0.4001715981813823,0.03453456345090727,-0.4678580987669738,-0.3324850975957908,-11.587567879647521,4.764703450165558e-31,0.6702050302033316,0.6263423961101561,0.71713935588491
C(user_id)[T.2683],-0.21415294480599312,0.03151493520670584,-0.27592108278624994,-0.1523848068257363,-6.795284312068807,1.0809913187824363e-11,0.8072249147228765,0.7588728165264724,0.8586577997772102
C(user_id)[T.2718],-0.43265878546051606,0.037041932406653606,-0.5052596388953242,-0.3600579320257079,-11.680243371504028,1.6083437740892247e-31,0.6487818278339029,0.6033489022462206,0.6976359094388933
C(user_id)[T.2918],0.1329418711725668,0.020925035343898033,0.09192955552329896,0.17395418682183467,6.353244761009883,2.1081986323446502e-10,1.142183602607627,1.096287591954902,1.1900010468415525
C(user_id)[T.3288],0.07594963336313836,0.03086398612981753,0.015457332129352228,0.1364419345969245,2.460784975851315,0.01386334248251243,1.0789082318096561,1.015577414608085,1.1461883219565758
C(user_id)[T.3403],-1.1441229874974594,0.04905649415678027,-1.2402719492525485,-1.0479740257423704,-23.322559167007377,2.6176726002017484e-120,0.3185031265618243,0.2893055308172197,0.35064743264016224
C(user_id)[T.3471],0.22746854573279432,0.03065652741666249,0.1673828561050711,0.28755423536051755,7.419905804763792,1.1720365915026356e-13,1.2554179508814032,1.182206793764642,1.3331628947727325
C(user_id)[T.3497],-0.09057540243603686,0.03164899975358553,-0.15260630209978154,-0.028544502772292174,-2.861872512282968,0.004211462724894327,0.913405458307646,0.8584676321939254,0.9718590427620604
C(user_id)[T.3605],-1.3548159658275905,0.0522247747607435,-1.4571746434593642,-1.2524572881958167,-25.942016447833172,2.237478090976906e-148,0.25799476993710724,0.2328933528103644,0.28580163629272426
C(user_id)[T.3875],0.0016019257466361875,0.023547831715868956,-0.04455097633047699,0.04775482782374937,0.06802858819296916,0.9457628769062694,1.0016032095150942,0.9564268437200583,1.0489134594015768
C(user_id)[T.3988],-0.3057849457334572,0.030819556614760497,-0.36619016671788096,-0.24537972474903344,-9.921782767861325,3.347233354209377e-23,0.7365449995699884,0.6933709325971165,0.7824073823798051
C(user_id)[T.4193],-0.29782272014832967,0.027768788466057154,-0.35224854543611295,-0.2433968948605464,-10.725088727308709,7.761255047424164e-27,0.7424329464844462,0.7031053466324215,0.7839603022016892
C(user_id)[T.4275],-0.6779711234172765,0.0373143681333259,-0.7511059410644644,-0.6048363057700886,-18.169170679638885,9.055670071761401e-74,0.5076458991272831,0.4718444319434916,0.5461638231891025
C(user_id)[T.4344],-0.3227109703549568,0.03402417082345998,-0.3893971197727769,-0.25602482093713674,-9.484756352458842,2.4294997478269818e-21,0.7241831345166905,0.6774651817683279,0.7741227541015704
C(user_id)[T.4398],-0.7171247722130852,0.03842848815878299,-0.7924432249846238,-0.6418063194415466,-18.66127986222074,1.0225257086449622e-77,0.4881537934759215,0.4527373038157081,0.5263408251906121
C(user_id)[T.4431],0.16739894065085045,0.026378811963608122,0.11569741924722424,0.21910046205447667,6.345962088125574,2.2103966813259504e-10,1.1822258091768638,1.1226561265997224,1.2449563412770817
C(user_id)[T.4484],-1.618169681013182,0.04321120803623166,-1.7028620924926638,-1.5334772695337002,-37.44791581981189,6.4945911051674485e-307,0.1982612485193582,0.18216141442943476,0.21578402203108474
C(user_id)[T.4790],-0.00385720078851097,0.0315523776394027,-0.06569872458834719,0.057984323011325244,-0.1222475476362861,0.9027029712428013,0.9961502286550956,0.936412939992222,1.0596983827005226
C(user_id)[T.4969],-0.2665526388829508,0.030228699386236183,-0.3257998009794617,-0.20730547678643982,-8.817866606735924,1.1666111632367764e-18,0.7660156804551754,0.7219497065890733,0.8127713292876161
C(user_id)[T.5058],0.46040728707957723,0.02316592386201251,0.4150029106414357,0.5058116635177188,19.87433308604425,6.788255799845991e-88,1.5847192892647899,1.5143751484886898,1.658330981113995
C(user_id)[T.5119],-1.1160325072399662,0.04417618360178556,-1.2026162360738948,-1.0294487784060375,-25.263216879487462,8.107041520030603e-141,0.32757687873040475,0.3004072466420912,0.3572038047624088
C(user_id)[T.5256],0.07164926060488924,0.03137932491489525,0.010146913912514155,0.13315160729726433,2.2833270250144393,0.022411112267815045,1.0742784861917984,1.0101985684068926,1.142423184893783
C(user_id)[T.5295],-0.8518193381312529,0.03625061319353391,-0.9228692344080719,-0.7807694418544339,-23.498067014303455,4.268626790628138e-122,0.4266380266062183,0.3973772353770011,0.4580534301965275
C(user_id)[T.5336],-2.0638233650133797,0.07036070428472109,-2.2017278113383063,-1.9259189186884533,-29.332045294230255,4.049166685851776e-189,0.1269675972281149,0.1106118767058893,0.14574177046778639
C(user_id)[T.5356],0.15316633928775197,0.028447791959046415,0.09740969160833285,0.2089229869671711,5.384120479658,7.279973166020483e-08,1.1655188343921765,1.1023118890543642,1.2323500878578495
C(user_id)[T.5383],0.17106525288290844,0.029436292893270793,0.11337117897372534,0.22875932679209154,5.811372155561557,6.196284350848806e-09,1.186568173489687,1.1200475939179417,1.2570394668798355
