transition,transition_label,previous_condition,current_condition,user_id,n_after_previous_correct,errors_after_previous_correct,n_after_previous_error,errors_after_previous_error,shrunk_risk_after_previous_correct,shrunk_risk_after_previous_error,risk_difference,posterior_risk_difference_sd,raw_stable,log_odds_ratio,odds_ratio
C_to_C,C→C,congruent,congruent,163,12843,301,301,26,0.023395791347148278,0.06897450703981585,0.04557871569266757,0.012656465589399389,True,1.1289756257792325,3.0924870130572115
C_to_C,C→C,congruent,congruent,166,19989,254,243,8,0.012735701122109767,0.028555142830129745,0.01581944170801998,0.00897137209308023,True,0.8235811692822179,2.278645458524221
C_to_C,C→C,congruent,congruent,182,9804,48,56,1,0.005035676401768032,0.018137015784561145,0.013101339382793113,0.01056215691900015,True,1.2946621733010253,3.649762778538286
C_to_C,C→C,congruent,congruent,221,18244,278,278,16,0.015255072257993073,0.046912202556269066,0.03165713029827599,0.010851521029242911,True,1.1560413933997542,3.177330546277423
C_to_C,C→C,congruent,congruent,335,20443,135,167,11,0.006662506930402763,0.04767880173303883,0.04101629480263607,0.012947993575686165,True,2.0101591687532476,7.464505368781897
C_to_C,C→C,congruent,congruent,522,9078,43,30,0,0.004889282016108912,0.014174399626165736,0.009285117610056823,0.010224162830139287,True,1.0737665708207595,2.9263811896479015
C_to_C,C→C,congruent,congruent,569,6479,624,610,75,0.09508605470335008,0.10778666761183532,0.012700612908485245,0.012152901785244878,True,0.1395062384507102,1.1497059780797656
C_to_C,C→C,congruent,congruent,677,7878,154,149,5,0.019531799190167322,0.02730366909525881,0.0077718699050914886,0.010354937298624536,True,0.34293550288452934,1.4090778775370172
C_to_C,C→C,congruent,congruent,878,5984,401,284,20,0.06618476971427356,0.056511974678958896,-0.009672795035314666,0.012142645715068777,True,-0.16830289537075904,0.8450978196963141
C_to_C,C→C,congruent,congruent,899,7235,16,11,0,0.0024379081805559082,0.016529450672163604,0.014091542491607696,0.011885030116166068,False,1.9282300121916158,6.87732667800823
C_to_C,C→C,congruent,congruent,984,8329,80,74,12,0.009711430595796051,0.07831851330917101,0.06860708271337496,0.02014605865142541,True,2.1592770922652496,8.664871491184352
